"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","Umag","alphat","epsilon","k","nut","p","p_rgh","rho"
-275,-260,20,300,8.9991,-0.001043,0.0061436,8.9991,0.19477,0.0013915,0.0089895,0.13515,1.0133e+05,3.2733,1.225
-300,-260,20,300,9.5,0,0,9.5,0.0019044,0.12361,0.015027,0.0013214,1.0133e+05,3.2794,1.225
-275,-238.33,20,300,8.999,-0.0020115,0.0060881,8.999,0.19477,0.0013915,0.0089895,0.13515,1.0133e+05,3.2848,1.225
-300,-238.33,20,300,9.5,0,0,9.5,0.0019044,0.12361,0.015027,0.0013214,1.0133e+05,3.2907,1.225
-250,-238.33,20,300,8.9989,-0.0040344,0.0070533,8.9989,0.19877,4.5924e-05,0.0090982,0.13792,1.0133e+05,3.2729,1.225
-250,-260,20,300,8.999,-0.0020937,0.0069614,8.999,0.19876,4.5941e-05,0.0090981,0.13792,1.0133e+05,3.2601,1.225
-225,-238.33,20,300,8.9991,-0.0064356,0.0084296,8.9991,0.20281,4.5292e-05,0.009473,0.14073,1.0133e+05,3.2585,1.225
-225,-260,20,300,8.9995,-0.0033179,0.0082938,8.9995,0.2028,4.5337e-05,0.0094726,0.14072,1.0133e+05,3.2431,1.225
-200,-238.33,20,300,9.0001,-0.009379,0.010194,9.0001,0.20697,4.799e-05,0.0098612,0.14361,1.0133e+05,3.2354,1.225
-200,-260,20,300,9.0007,-0.0048217,0.0099939,9.0007,0.20694,4.8024e-05,0.0098605,0.14359,1.0133e+05,3.2163,1.225
-175,-238.33,20,300,9.0024,-0.013077,0.012257,9.0025,0.21127,5.0853e-05,0.010264,0.1466,1.0133e+05,3.1951,1.225
-175,-260,20,300,9.0035,-0.0067104,0.011968,9.0035,0.21122,5.0882e-05,0.010262,0.14656,1.0133e+05,3.1711,1.225
-150,-238.33,20,300,9.007,-0.017747,0.014547,9.007,0.21573,5.3878e-05,0.010681,0.14969,1.0133e+05,3.1279,1.225
-150,-260,20,300,9.0085,-0.0090811,0.014149,9.0085,0.21565,5.3902e-05,0.010679,0.14964,1.0133e+05,3.0979,1.225
-125,-238.33,20,300,9.0147,-0.023552,0.017018,9.0148,0.22034,5.7071e-05,0.011114,0.15289,1.0133e+05,3.0214,1.225
-125,-260,20,300,9.0167,-0.011997,0.016487,9.0167,0.22024,5.7091e-05,0.011111,0.15282,1.0133e+05,2.985,1.225
-99.996,-238.33,20,300,9.0269,-0.030562,0.019707,9.027,0.22512,6.0442e-05,0.011563,0.15621,1.0133e+05,2.8602,1.225
-99.997,-260,20,300,9.0294,-0.015474,0.019014,9.0294,0.22499,6.0456e-05,0.01156,0.15612,1.0133e+05,2.8175,1.225
-74.996,-238.33,20,300,9.0448,-0.038655,0.02261,9.045,0.23007,6.3999e-05,0.012029,0.15964,1.0133e+05,2.6262,1.225
-74.996,-260,20,300,9.0476,-0.019442,0.021732,9.0477,0.2299,6.4006e-05,0.012024,0.15953,1.0133e+05,2.5786,1.225
-49.996,-238.33,20,300,9.0696,-0.047494,0.025602,9.0698,0.23519,6.7752e-05,0.012512,0.16319,1.0133e+05,2.301,1.225
-49.996,-260,20,300,9.0724,-0.023738,0.02453,9.0725,0.23499,6.775e-05,0.012507,0.16305,1.0133e+05,2.2512,1.225
-24.996,-238.33,20,300,9.1019,-0.05615,0.028512,9.1021,0.24047,7.1699e-05,0.013013,0.16686,1.0133e+05,1.8693,1.225
-24.997,-260,20,300,9.1044,-0.027942,0.027259,9.1045,0.24022,7.169e-05,0.013006,0.16668,1.0133e+05,1.8219,1.225
-0.018063,-238.47,20,300,9.1415,-0.063658,0.031152,9.1419,0.2459,7.5864e-05,0.013533,0.17063,1.0133e+05,1.3269,1.225
0.0033064,-260,20,300,9.1434,-0.031563,0.029736,9.1435,0.24561,7.5842e-05,0.013524,0.17042,1.0133e+05,1.289,1.225
25.02,-238.48,20,300,9.1875,-0.069639,0.033365,9.1879,0.25152,8.0264e-05,0.014074,0.17453,1.0133e+05,0.68866,1.225
25.003,-260,20,300,9.1882,-0.034316,0.031793,9.1883,0.25117,8.0225e-05,0.014062,0.17428,1.0133e+05,0.66682,1.225
50.003,-238.33,20,300,9.2374,-0.07305,0.034959,9.2379,0.25728,8.4884e-05,0.014633,0.17852,1.0132e+05,-0.018294,1.225
50.003,-260,20,300,9.2368,-0.035725,0.033266,9.237,0.25685,8.4829e-05,0.014618,0.17823,1.0132e+05,-0.021206,1.225
75.003,-238.33,20,300,9.2886,-0.073279,0.035767,9.289,0.26312,8.9726e-05,0.015209,0.18257,1.0132e+05,-0.75543,1.225
75.002,-260,20,300,9.2868,-0.035583,0.03401,9.2869,0.26263,8.9652e-05,0.015191,0.18223,1.0132e+05,-0.73968,1.225
100,-238.33,20,300,9.3386,-0.070834,0.03573,9.3391,0.26903,9.4794e-05,0.015801,0.18667,1.0132e+05,-1.4786,1.225
100,-260,20,300,9.3357,-0.03416,0.033944,9.3358,0.26847,9.47e-05,0.015779,0.18629,1.0132e+05,-1.4464,1.225
125,-238.33,20,300,9.3855,-0.065519,0.034794,9.3859,0.27497,0.00010008,0.016407,0.19079,1.0132e+05,-2.1553,1.225
125,-260,20,300,9.3814,-0.031403,0.033008,9.3815,0.27434,9.9966e-05,0.016382,0.19036,1.0132e+05,-2.1073,1.225
150,-238.41,20,300,9.4271,-0.05705,0.032873,9.4274,0.28089,0.0001056,0.017027,0.1949,1.0132e+05,-2.7537,1.225
150,-260,20,300,9.4217,-0.027218,0.031144,9.4218,0.28017,0.00010546,0.016999,0.19441,1.0132e+05,-2.6904,1.225
175.01,-238.39,20,300,9.4606,-0.045423,0.029743,9.4608,0.28671,0.00011134,0.017659,0.19894,1.0132e+05,-3.2373,1.225
175,-260,20,300,9.4542,-0.021695,0.028233,9.4543,0.28593,0.00011118,0.017627,0.1984,1.0132e+05,-3.1614,1.225
200.01,-238.39,20,300,9.4831,-0.031118,0.025369,9.4832,0.29244,0.00011727,0.018297,0.20291,1.0132e+05,-3.5707,1.225
200,-260,20,300,9.4763,-0.015061,0.024187,9.4763,0.29161,0.00011709,0.018262,0.20234,1.0132e+05,-3.4888,1.225
225.01,-238.39,20,300,9.4931,-0.01576,0.020129,9.4931,0.29804,0.00012335,0.018939,0.20681,1.0132e+05,-3.7307,1.225
225,-260,20,300,9.4863,-0.0085384,0.019183,9.4864,0.29718,0.00012316,0.018903,0.20621,1.0132e+05,-3.6519,1.225
250.01,-238.39,20,300,9.4908,-0.00098356,0.014406,9.4909,0.30346,0.00012958,0.019584,0.21057,1.0132e+05,-3.7175,1.225
250,-260,20,300,9.4847,-0.0024856,0.013643,9.4847,0.30257,0.00012939,0.019546,0.20995,1.0132e+05,-3.6504,1.225
275.01,-238.38,20,300,9.4776,0.012846,0.0085366,9.4776,0.30868,0.00013597,0.02023,0.21419,1.0132e+05,-3.5527,1.225
275,-260,20,300,9.4723,0.0033974,0.0079629,9.4723,0.30778,0.00013577,0.020191,0.21356,1.0132e+05,-3.5014,1.225
300,-238.33,20,300,9.4554,0.025036,0.0026431,9.4554,0.31379,0.00014245,0.020875,0.21773,1.0132e+05,-3.2655,1.225
300,-260,20,300,9.4508,0.0080083,0.0021364,9.4508,0.31289,0.00014224,0.020835,0.21711,1.0132e+05,-3.2281,1.225
325,-238.33,20,300,9.4261,0.033968,-0.0032016,9.4262,0.31879,0.00014897,0.021515,0.2212,1.0132e+05,-2.8883,1.225
325,-260,20,300,9.4223,0.011319,-0.0036797,9.4223,0.31788,0.00014876,0.021475,0.22057,1.0132e+05,-2.8607,1.225
350,-238.33,20,300,9.3926,0.039921,-0.0083033,9.3927,0.32361,0.00015556,0.02215,0.22455,1.0132e+05,-2.4601,1.225
350,-260,20,300,9.3896,0.013918,-0.0086633,9.3896,0.32271,0.00015536,0.022111,0.22392,1.0132e+05,-2.4413,1.225
375,-238.33,20,300,9.3572,0.043918,-0.012308,9.3574,0.32832,0.00016222,0.022782,0.22782,1.0132e+05,-2.0161,1.225
375,-260,20,300,9.3549,0.015691,-0.012542,9.3549,0.32743,0.00016203,0.022744,0.2272,1.0132e+05,-2.0052,1.225
400,-238.33,20,300,9.3216,0.046225,-0.015557,9.3218,0.33293,0.00016895,0.023411,0.23101,1.0132e+05,-1.5771,1.225
400,-260,20,300,9.3199,0.016742,-0.015693,9.3199,0.33206,0.00016878,0.023375,0.23041,1.0132e+05,-1.5723,1.225
425,-238.33,20,300,9.2867,0.047259,-0.018186,9.2869,0.33745,0.00017578,0.02404,0.23415,1.0132e+05,-1.155,1.225
